OBJECTID,groupname,grouptypename,typeid,Name,Address,Telephone,Website,Parking,DisabilityAccess,SummaryActivities,SDCC_Owned,SourceFunding,Playground,AdultExerciseEquipment,RoseGarden,FairyWood,PetFarm,CycleTrack,Allotments,CaravanPark,Sports_PlayingPitches,SensoryGarden,OutdoorGym,CCTV,Fishery,created_user,created_date,last_edited_user,last_edited_date,OpeningHours,ShapeSTArea
1147,Allenton Open Space And Pitches 101-102-103,Open Space Incorporating Pitches,27,Allenton Open Space,"Tallaght, Dublin 24",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/02/12 10:55:28+00,,60328.54546
1150,Ashwood Open Space And Pitch 42,Open Space Incorporating Pitches,27,Ashwood Open Space ," Clondalkin, Dublin 22",01-419000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/02/05 15:59:17+00,,12373.99086
732,Aylesbury Park and Pitches 87-88-89-90,Neighbourhood Park,17,Aylesbury Park,"Aylesbury, Tallaght, Dublin 24",01-4149000,www.sdcc.ie,Yes,Yes,,Yes,,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/03/01 14:46:26+00,,52194.83354
689,Ballycragh Park and Pitches 104-105,Neighbourhood Park,17,Ballycragh Park,"Firhouse, Tallaght, Dublin 24",01-4149000,www.sdcc.ie,Yes,Yes,,Yes,,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/03/01 14:46:36+00,,90082.3455
734,Ballymount Park and Pitches 93-94-95,Neighbourhood Park,17,Ballymount Park,"Tallaght, Dublin 24",01-4149000,www.sdcc.ie,Yes,Yes,,Yes,,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,,,,Esri_Anonymous,2016/04/06 13:28:18+00,,366560.6393
768,Ballyowen Park and Pitches 14-36-38-39-40,Neighbourhood Park,17,Ballyowen Park,"Clondalkin, Dublin 22",01-4149000,www.sdcc.ie,No,Yes,,Yes,,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/03/01 14:48:09+00,,168592.6134
781,Bancroft Park and Pitches 118-119,Neighbourhood Park,17,Bancroft Park,"Tallaght, Dublin 24",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/03/01 14:47:07+00,,149713.3338
1154,Beech Park Os And Pitch 15,Open Space Incorporating Pitches,27,Beech Park Open Space ,"Lucan, Co. Dublin",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/02/05 16:07:29+00,,31944.69898
642,Beechdale  Estate 10 Roads,Open Space,26,Beechdale Estate Open Space," Firhouse, Tallaght, Dublin 24",01-4149000,www.sdcc.ie,No,Yes,,Yes,,No,No,No,No,No,No,No,No,No,No,No,No,No,,,Esri_Anonymous,2016/02/05 15:02:38+00,,75369.34401
756,Beechfield Park and Pitches 156-157,Neighbourhood Park,17,Beechfield Park,"Walkinstown, Dublin 12",01-4149000,www.sdcc.ie,No,Yes,,Yes,,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,,,Esri_Anonymous,2016/03/01 14:47:25+00,,31772.3117
1176,Camac Valley Tourist Caravan And Camping Park,Regional Park,16,Camac Valley Caravan Park,"Clondalkin, Dublin 22 ",01-4640644,www.sdcc.ie,Yes,Yes,,Yes,,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,,,Esri_Anonymous,2016/02/25 13:05:06+00,,52423.27978
1148,Castle Estate Open Space And Pitch 43,Open Space Incorporating Pitches,27,Castle Estate Open Space,"Clondalkin, Dublin 22 ",01-4149000,www.sdcc..ie,No,Yes,,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,No,No,,,Esri_Anonymous,2016/02/05 15:56:55+00,,18175.91811
